link,image,name,pronouns
https://io.google/2022/speakers/john-kimani/,https://io.google/2022/speakers/8974ac8b-07dd-4e4c-82e5-36b4d89ebd69_240.webp,John Kimani,he / him
https://io.google/2022/speakers/john-mcdole/,https://io.google/2022/speakers/3b085703-08af-4cdf-837e-8d11623f8f75_240.webp,John McDole,he / him
https://io.google/2022/speakers/john-mueller/,https://io.google/2022/speakers/661b03e2-8fdd-40f6-b95b-c721a6cddd50_240.webp,John Mueller,he / him
https://io.google/2022/speakers/jolanda-verhoef/,https://io.google/2022/speakers/8bb8183d-0cab-4617-b637-36f210650d7d_240.webp,Jolanda Verhoef,she / her
https://io.google/2022/speakers/jon-markoff/,https://io.google/2022/speakers/c5a12e94-14eb-4e6f-941a-3f8ae8ba9977_240.webp,Jon Markoff,he / him
https://io.google/2022/speakers/jose-ugia/,https://io.google/2022/speakers/ab9fe744-7e82-4a8e-92e9-3ebf809586e6_240.webp,Jose Ugia,he / him
https://io.google/2022/speakers/julia-feldman/,https://io.google/2022/speakers/1d6bc57c-0d78-4257-82db-92c7134b014c_240.webp,Julia Feldman,
https://io.google/2022/speakers/justin-mccandless/,https://io.google/2022/speakers/cf059dfb-5c9c-40f1-8bd6-dd16dc356789_240.webp,Justin McCandless,
https://io.google/2022/speakers/kara-yu/,https://io.google/2022/speakers/62616c71-70f9-4cbc-af83-68a75381c172_240.webp,Kara Yu,she / her
https://io.google/2022/speakers/karen-ng/,https://io.google/2022/speakers/d0beb585-fd76-41ac-94c0-57484d52d57c_240.webp,Karen Ng,she / her
https://io.google/2022/speakers/karen-zeng/,https://io.google/2022/speakers/74ffd577-264d-49f9-8de4-53236effc863_240.webp,Karen Zeng,she / her
https://io.google/2022/speakers/karolina-netolicka/,https://io.google/2022/speakers/a499ec63-6173-4589-9815-e11cf897db70_240.webp,Karolína Netolická,she / her
https://io.google/2022/speakers/karthic-veera/,https://io.google/2022/speakers/b0ad5a8d-feda-4a1d-b4d0-33b5025efe29_240.webp,Karthic Veera,he / him
https://io.google/2022/speakers/kaustubha-govind/,https://io.google/2022/speakers/a1628cdb-8b6e-4fa4-8b11-f1fa7becb635_240.webp,Kaustubha Govind,she / her
https://io.google/2022/speakers/kenneth-ford/,https://io.google/2022/speakers/5b16db17-35a4-48ea-9c3f-00780adcf627_240.webp,Kenneth Ford,he / him
https://io.google/2022/speakers/kevin-flanagan/,https://io.google/2022/speakers/a15ba2d8-9146-4d47-afa6-7da2556104bf_240.webp,Kevin Flanagan,he / him
https://io.google/2022/speakers/kevin-moore/,https://io.google/2022/speakers/224f8df9-aa33-4eed-9cd9-84e940ae1130_240.webp,Kevin Moore,he / him
https://io.google/2022/speakers/khanh-leviet/,https://io.google/2022/speakers/9a201073-f54f-4260-87ab-00a264a41536_240.webp,Khanh LeViet,he / him
https://io.google/2022/speakers/khanh-nguyen/,https://io.google/2022/speakers/709e9dd5-a6f1-4edf-8cd0-801c76a3dec2_240.webp,Khanh Nguyen,she / her
https://io.google/2022/speakers/kirupa-chinnathambi/,https://io.google/2022/speakers/da9df2fc-8895-4989-baaf-6f434d218dba_240.webp,Kirupa Chinnathambi,he / him
https://io.google/2022/speakers/konstantin-mandrika/,https://io.google/2022/speakers/5bb6ffc0-26c1-4bb6-893a-e5b63ecd498f_240.webp,Konstantin Mandrika,he / him
https://io.google/2022/speakers/konstantine-tsotsos/,https://io.google/2022/speakers/1571b6ed-78fe-4885-8656-e02d28b28952_240.webp,Konstantine Tsotsos,
https://io.google/2022/speakers/kris-braun/,https://io.google/2022/speakers/2877ee3a-c045-4ff4-83cf-fd4683cec18e_240.webp,Kris Braun,he / him
https://io.google/2022/speakers/kseniia-shumelchyk/,https://io.google/2022/speakers/041e9bcb-7207-4aae-aa4a-1bea568d2740_240.webp,Kseniia  Shumelchyk,she / her
https://io.google/2022/speakers/kweku-adams/,https://io.google/2022/speakers/257a1167-bf19-4745-919d-0d76a4084b21_240.webp,Kweku Adams,
https://io.google/2022/speakers/lauren-mytton/,https://io.google/2022/speakers/3630e676-b8b6-42f4-9ba7-60b4a76a0711_240.webp,Lauren Mytton,she / her
https://io.google/2022/speakers/laurence-moroney/,https://io.google/2022/speakers/40f191f5-5185-4dcc-bbc6-fede25fd86eb_240.webp,Laurence Moroney,he / him
https://io.google/2022/speakers/liam-spradlin/,https://io.google/2022/speakers/c0214355-accd-47fe-a034-792d024fed59_240.webp,Liam Spradlin,he / him
https://io.google/2022/speakers/lokesh-gidra/,https://io.google/2022/speakers/054fd0ce-5c9b-49f5-af4f-ec6ce21c5d9f_240.webp,Lokesh Gidra,he / him
https://io.google/2022/speakers/luca-ballan/,https://io.google/2022/speakers/ab8e2081-dd1e-4590-b2a1-37efa1bf7bb1_240.webp,Luca Ballan,he / him
